,City,Cloudiness(%),Country,Date,Humidity(%),Lat,Lng,Max Temp(F),Wind Speed(mph)
0,Arraial do Cabo,40,BR,Jul/22/2019,94,-22.97,-42.02,68,10.29
1,Mehamn,5,NO,Jul/22/2019,92,71.03,27.85,52.55,2.37
2,Inirida,80,CO,Jul/22/2019,94,3.87,-67.92,74.69,1.19
3,Lichuan,100,CN,Jul/22/2019,95,30.3,108.94,73.61,2.46
4,Punta Arenas,40,CL,Jul/22/2019,70,-53.16,-70.91,35.6,25.28
5,Vanimo,100,PG,Jul/22/2019,71,-2.67,141.3,83.33,8.63
6,Kushima,75,JP,Jul/22/2019,74,31.5,131.29,84.2,8.05
7,Cape Town,75,ZA,Jul/22/2019,93,-33.93,18.42,57,23.04
8,Hermanus,2,ZA,Jul/22/2019,68,-34.42,19.24,62.01,8.99
9,Arman,0,RU,Jul/22/2019,40,59.7,150.17,52.73,9.95
10,Port Elizabeth,1,US,Jul/22/2019,94,39.31,-74.98,84,4.7
11,Vaini,75,IN,Jul/22/2019,100,15.34,74.49,69.8,11.41
12,Nelson Bay,0,AU,Jul/22/2019,59,-32.72,152.14,69.01,10.29
13,Morris,1,US,Jul/22/2019,43,45.59,-95.91,75.2,5.82
14,Uglich,1,RU,Jul/22/2019,85,57.53,38.32,54.17,3.18
15,Hilo,90,US,Jul/22/2019,83,19.71,-155.08,80.01,5.82
16,Port Alfred,0,ZA,Jul/22/2019,87,-33.59,26.89,55.99,3
17,Toora-Khem,21,RU,Jul/22/2019,66,52.47,96.11,59.39,1.54
18,Dikson,100,RU,Jul/22/2019,93,73.51,80.55,34.91,9.69
19,Qaanaaq,100,GL,Jul/22/2019,85,77.48,-69.36,39.59,15.41
20,Beloha,0,MG,Jul/22/2019,75,-25.17,45.06,54.71,6.35
21,Lorengau,94,PG,Jul/22/2019,74,-2.02,147.27,82.97,8.77
22,Airai,8,TL,Jul/22/2019,39,-8.93,125.41,76.13,0.58
23,Sorland,12,NO,Jul/22/2019,89,67.67,12.69,52.19,6.15
24,Kieta,55,PG,Jul/22/2019,68,-6.22,155.63,82.61,1.72
25,Pevek,100,RU,Jul/22/2019,98,69.7,170.27,31.13,12.12
26,Rikitea,0,PF,Jul/22/2019,72,-23.12,-134.97,68.93,19.98
27,Kerugoya,55,KE,Jul/22/2019,92,-0.5,37.28,50.93,0.96
28,Bluff,0,AU,Jul/22/2019,61,-23.58,149.07,67.13,4.25
29,Lasa,0,CY,Jul/22/2019,56,34.92,32.53,75.2,6.93
30,Puerto Ayora,55,EC,Jul/22/2019,91,-0.74,-90.35,70,3
31,East London,0,ZA,Jul/22/2019,41,-33.02,27.91,57.77,1.32
32,Victoria,75,BN,Jul/22/2019,83,5.28,115.24,80.6,6.93
33,The Valley,20,AI,Jul/22/2019,74,18.22,-63.06,84.2,11.41
34,Yellowknife,20,CA,Jul/22/2019,34,62.45,-114.38,80.6,8.05
35,Saint-Philippe,90,CA,Jul/22/2019,82,45.36,-73.48,72,4.03
36,Chilia Veche,24,UA,Jul/22/2019,68,45.41,29.29,71.6,9.17
37,Hasaki,75,JP,Jul/22/2019,100,35.73,140.83,75.2,5.82
38,Mar del Plata,36,AR,Jul/22/2019,63,-46.43,-67.52,38.33,11.63
39,Dicabisagan,49,PH,Jul/22/2019,86,17.08,122.42,78.83,1.43
40,Tiksi,57,RU,Jul/22/2019,36,71.64,128.87,63.53,13.24
41,Ilulissat,5,GL,Jul/22/2019,62,69.22,-51.1,51.8,1.12
42,Carutapera,5,BR,Jul/22/2019,85,-1.2,-46.02,77.03,5.57
43,Namatanai,74,PG,Jul/22/2019,83,-3.66,152.44,79.37,15.1
44,Kutum,50,SD,Jul/22/2019,73,14.2,24.66,71.09,19.1
45,Ushuaia,75,AR,Jul/22/2019,80,-54.81,-68.31,33.8,8.05
46,Kodiak,1,US,Jul/22/2019,53,39.95,-94.76,78.8,12.75
47,Saint Anthony,1,US,Jul/22/2019,12,43.97,-111.68,95,4.7
48,Kapaa,90,US,Jul/22/2019,74,22.08,-159.32,80.6,12.75
49,Busselton,38,AU,Jul/22/2019,72,-33.64,115.35,59,11.99
50,Constitucion,90,MX,Jul/22/2019,68,23.99,-104.67,68,5.82
51,Castro,20,CL,Jul/22/2019,100,-42.48,-73.76,35.6,2.24
52,Chuy,100,UY,Jul/22/2019,81,-33.69,-53.46,54.89,15.52
53,Erdenet,100,MN,Jul/22/2019,96,49.03,104.04,53.81,6.96
54,Gat,60,SN,Jul/22/2019,78,14.69,-16.54,80.6,4.7
55,Bethel,90,US,Jul/22/2019,64,60.79,-161.76,69.8,5.82
56,Polyarnyy,0,RU,Jul/22/2019,71,69.2,33.45,57.2,4.47
57,Atuona,2,PF,Jul/22/2019,75,-9.8,-139.03,79.55,13.53
58,Whitehorse,75,CA,Jul/22/2019,93,60.72,-135.06,62.01,4.7
59,Ayr,82,AU,Jul/22/2019,70,-19.58,147.4,69.47,5.06
60,Mataura,71,NZ,Jul/22/2019,96,-46.19,168.86,46,1.99
61,Cayenne,0,GF,Jul/22/2019,100,4.94,-52.33,75.2,2.24
62,Le Port,54,FR,Jul/22/2019,39,42.87,1.37,78.01,3
63,Pisco,90,PE,Jul/22/2019,82,-13.71,-76.2,62.6,6.93
64,Seydisehir,7,TR,Jul/22/2019,68,37.42,31.85,59.21,7.2
65,Matagami,43,NG,Jul/22/2019,95,9.67,8.4,67.67,1.99
66,Sale,81,AU,Jul/22/2019,58,-38.11,147.06,59,14.43
67,Provideniya,90,RU,Jul/22/2019,81,64.42,-173.23,50,8.95
68,Birin,75,NP,Jul/22/2019,94,26.89,88.07,78.8,2.24
69,Vostok,79,RU,Jul/22/2019,90,46.45,135.83,66.59,2.71
70,Upernavik,0,GL,Jul/22/2019,82,72.79,-56.15,43.55,10.63
71,Itaituba,18,BR,Jul/22/2019,71,-4.26,-55.99,76.85,1.95
72,Sangar,0,RU,Jul/22/2019,40,63.92,127.47,64.97,5.79
73,Wad Rawah,89,SD,Jul/22/2019,60,15.16,33.13,83.15,17.29
74,Chimoio,0,MZ,Jul/22/2019,76,-19.11,33.48,53.6,2.06
75,Merauke,98,ID,Jul/22/2019,83,-8.49,140.4,77.03,18.41
76,Sur,61,OM,Jul/22/2019,78,22.57,59.53,78.47,10.65
