Country Name_x,Country Code,Indicator Name_x,Indicator Code_x,1960_x,1961_x,1962_x,1963_x,1964_x,1965_x,1966_x,1967_x,1968_x,1969_x,1970_x,1971_x,1972_x,1973_x,1974_x,1975_x,1976_x,1977_x,1978_x,1979_x,1980_x,1981_x,1982_x,1983_x,1984_x,1985_x,1986_x,1987_x,1988_x,1989_x,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_gdp,Country Name_y,Indicator Name_y,Indicator Code_y,1960_y,1961_y,1962_y,1963_y,1964_y,1965_y,1966_y,1967_y,1968_y,1969_y,1970_y,1971_y,1972_y,1973_y,1974_y,1975_y,1976_y,1977_y,1978_y,1979_y,1980_y,1981_y,1982_y,1983_y,1984_y,1985_y,1986_y,1987_y,1988_y,1989_y,1990_y,1991_y,1992_y,1993_y,1994_y,1995_y,1996_y,1997_y,1998_y,1999_y,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_pop
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405463417.1,487602457.7,596423607.1,695304363.0,764887117.2,872138730.8,958463200.2,1082979708.0,1245688253.0,1320474860.0,1379960894.0,1531944134.0,1665100559.0,1722798883.0,1873452514.0,1920111732.0,1941340782.0,2021229050.0,2228491620.0,2330726257.0,2424581006.0,2615083799.0,2745251397.0,2498882682.0,2390502793.0,2549720670.0,2534636872.0,2581564246.0,2649720670.0,2691620112.0,2646927374.0,2700558659.0,,Aruba,"Population, total",SP.POP.TOTL,54211.0,55438.0,56225.0,56695.0,57032.0,57360.0,57715.0,58055.0,58386.0,58726.0,59063.0,59440.0,59840.0,60243.0,60528.0,60657.0,60586.0,60366.0,60103.0,59980.0,60096.0,60567.0,61345.0,62201.0,62836.0,63026.0,62644.0,61833.0,61079.0,61032.0,62149.0,64622.0,68235.0,72504.0,76700.0,80324.0,83200.0,85451.0,87277.0,89005.0,90853.0,92898.0,94992.0,97017.0,98737.0,100031.0,100834.0,101222.0,101358.0,101455.0,101669.0,102046.0,102560.0,103159.0,103774.0,104341.0,104872.0,105366.0,105845.0
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638.0,1399999967.0,1673333418.0,1373333367.0,1408888922.0,1748886596.0,1831108971.0,1595555476.0,1733333264.0,2155555498.0,2366666616.0,2555555567.0,2953333418.0,3300000109.0,3697940410.0,3641723322.0,3478787909.0,,,,,,,,,,,,,,,,,,,,,4055176933.0,4515563414.0,5226775163.0,6209140044.0,6971286732.0,9747886105.0,10109218068.0,12439087077.0,15856574731.0,17804280538.0,20001615789.0,20561054090.0,20484873230.0,19907111419.0,19362642267.0,20191764940.0,19362969582.0,Afghanistan,"Population, total",SP.POP.TOTL,8996973.0,9169410.0,9351441.0,9543205.0,9744781.0,9956320.0,10174836.0,10399926.0,10637063.0,10893776.0,11173642.0,11475445.0,11791215.0,12108963.0,12412950.0,12689160.0,12943093.0,13171306.0,13341198.0,13411056.0,13356511.0,13171673.0,12882528.0,12537730.0,12204292.0,11938208.0,11736179.0,11604534.0,11618005.0,11868877.0,12412308.0,13299017.0,14485546.0,15816603.0,17075727.0,18110657.0,18853437.0,19357126.0,19737765.0,20170844.0,20779953.0,21606988.0,22600770.0,23680871.0,24726684.0,25654277.0,26433049.0,27100536.0,27722276.0,28394813.0,29185507.0,30117413.0,31161376.0,32269589.0,33370794.0,34413603.0,35383128.0,36296400.0,37172386.0
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503401.0,5550483036.0,5550483036.0,5784341596.0,6131475065.0,7553560459.0,7072063345.0,8083872012.0,8769250550.0,10201099040.0,11228764963.0,10603784541.0,8307810974.0,5768720422.0,4438321017.0,5538749260.0,7526446606.0,7648377413.0,6506229607.0,6152922943.0,9129594819.0,8936063723.0,15285594828.0,17812705294.0,23552052408.0,36970918699.0,52381006892.0,65266452081.0,88538611205.0,70307163678.0,83799496611.0,112000000000.0,128000000000.0,137000000000.0,146000000000.0,116000000000.0,101000000000.0,122000000000.0,106000000000.0,Angola,"Population, total",SP.POP.TOTL,5454933.0,5531472.0,5608539.0,5679458.0,5735044.0,5770570.0,5781214.0,5774243.0,5771652.0,5803254.0,5890365.0,6040777.0,6248552.0,6496962.0,6761380.0,7024000.0,7279509.0,7533735.0,7790707.0,8058067.0,8341289.0,8640446.0,8952950.0,9278096.0,9614754.0,9961997.0,10320111.0,10689250.0,11068050.0,11454777.0,11848386.0,12248901.0,12657366.0,13075049.0,13503747.0,13945206.0,14400719.0,14871570.0,15359601.0,15866869.0,16395473.0,16945753.0,17519417.0,18121479.0,18758145.0,19433602.0,20149901.0,20905363.0,21695634.0,22514281.0,23356246.0,24220661.0,25107931.0,26015780.0,26941779.0,27884381.0,28842484.0,29816748.0,30809762.0
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857338012.0,1897050133.0,2097326250.0,2080796250.0,2051236250.0,2253090000.0,2028553750.0,1099559028.0,652174990.8,1185315468.0,1880951520.0,2392764853.0,3199642580.0,2258515610.0,2545967253.0,3212119044.0,3480355189.0,3922099471.0,4348070165.0,5611492283.0,7184681399.0,8052075642.0,8896073938.0,10677321490.0,12881353508.0,12044208086.0,11926953214.0,12890866743.0,12319784886.0,12776280961.0,13228247844.0,11386931490.0,11861352705.0,13025062196.0,15058879129.0,Albania,"Population, total",SP.POP.TOTL,1608800.0,1659800.0,1711319.0,1762621.0,1814135.0,1864791.0,1914573.0,1965598.0,2022272.0,2081695.0,2135479.0,2187853.0,2243126.0,2296752.0,2350124.0,2404831.0,2458526.0,2513546.0,2566266.0,2617832.0,2671997.0,2726056.0,2784278.0,2843960.0,2904429.0,2964762.0,3022635.0,3083605.0,3142336.0,3227943.0,3286542.0,3266790.0,3247039.0,3227287.0,3207536.0,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594.0,611316399.4,721425939.2,795449332.4,1029048482.0,1106928583.0,1210013652.0,1007025755.0,1017549124.0,1178738991.0,1223945357.0,1180597273.0,1211932398.0,1239876305.0,1434429703.0,1496912752.0,1733116883.0,2398645598.0,2935659300.0,3255789081.0,3543256806.0,4016972351.0,4007353157.0,3660530703.0,3355695364.0,3442062830.0,3164615187.0,3281585236.0,3350736367.0,2811489409.0,2877311947.0,3013387424.0,3236543909.0,Andorra,"Population, total",SP.POP.TOTL,13411.0,14375.0,15370.0,16412.0,17469.0,18549.0,19647.0,20758.0,21890.0,23058.0,24276.0,25559.0,26892.0,28232.0,29520.0,30705.0,31777.0,32771.0,33737.0,34818.0,36067.0,37500.0,39114.0,40867.0,42706.0,44600.0,46517.0,48455.0,50434.0,52448.0,54509.0,56671.0,58888.0,60971.0,62677.0,63850.0,64360.0,64327.0,64142.0,64370.0,65390.0,67341.0,70049.0,73182.0,76244.0,78867.0,80993.0,82684.0,83862.0,84463.0,84449.0,83747.0,82427.0,80774.0,79213.0,78011.0,77297.0,77001.0,77006.0
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,25602754731.0,28133065340.0,31706566563.0,36733861634.0,43793898646.0,55449545962.0,105000000000.0,117000000000.0,145000000000.0,167000000000.0,184000000000.0,249000000000.0,337000000000.0,348000000000.0,326000000000.0,306000000000.0,311000000000.0,307000000000.0,293000000000.0,313000000000.0,308000000000.0,323000000000.0,447000000000.0,441000000000.0,472000000000.0,477000000000.0,488000000000.0,524000000000.0,578000000000.0,613000000000.0,592000000000.0,644000000000.0,735000000000.0,723000000000.0,729000000000.0,823000000000.0,964000000000.0,1190000000000.0,1400000000000.0,1640000000000.0,2080000000000.0,1800000000000.0,2110000000000.0,2500000000000.0,2790000000000.0,2870000000000.0,2910000000000.0,2560000000000.0,2510000000000.0,2590000000000.0,2780000000000.0,Arab World,"Population, total",SP.POP.TOTL,92197753.0,94724510.0,97334442.0,100034179.0,102832760.0,105736431.0,108758610.0,111899364.0,115136178.0,118437195.0,121785650.0,125164745.0,128598734.0,132161298.0,135952252.0,140040649.0,144453278.0,149161891.0,154111175.0,159218552.0,164420785.0,169698994.0,175061792.0,180505996.0,186035305.0,191650331.0,197338142.0,203084971.0,208889682.0,214753970.0,222653373.0,228731685.0,232956352.0,239243261.0,245449409.0,253107289.0,259000953.0,264822188.0,270575803.0,276393837.0,282344154.0,288432163.0,294665185.0,301113849.0,307862843.0,314965793.0,322452754.0,330290716.0,338395961.0,346629220.0,354890042.0,363158703.0,371443547.0,379705719.0,387907748.0,396028278.0,404024433.0,411898965.0,419790588.0
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672507.0,19213022691.0,24871775165.0,23775831783.0,31225463218.0,43598748449.0,49333424135.0,46622718605.0,42803323345.0,41807954236.0,40603650232.0,33943612095.0,36384908744.0,36275674203.0,41464995914.0,50701443748.0,51552165622.0,54239171888.0,55625170253.0,59305093980.0,65743666576.0,73571233996.0,78839008445.0,75674336283.0,84445473111.0,104000000000.0,103000000000.0,110000000000.0,124000000000.0,148000000000.0,181000000000.0,222000000000.0,258000000000.0,315000000000.0,254000000000.0,290000000000.0,351000000000.0,375000000000.0,390000000000.0,403000000000.0,358000000000.0,357000000000.0,383000000000.0,414000000000.0,United Arab Emirates,"Population, total",SP.POP.TOTL,92418.0,100796.0,112118.0,125130.0,138039.0,149857.0,159976.0,169771.0,182627.0,203106.0,234514.0,277471.0,330974.0,394624.0,467451.0,548301.0,637922.0,735344.0,835508.0,931749.0,1019509.0,1096610.0,1164806.0,1228459.0,1293971.0,1366164.0,1446380.0,1533536.0,1627066.0,1725681.0,1828432.0,1937153.0,2052891.0,2173139.0,2294385.0,2415090.0,2539126.0,2671362.0,2813214.0,2966034.0,3134062.0,3302719.0,3478777.0,3711932.0,4068570.0,4588225.0,5300174.0,6168838.0,7089487.0,7917372.0,8549988.0,8946777.0,9141596.0,9197910.0,9214175.0,9262900.0,9360980.0,9487203.0,9630959.0
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604878.0,18272123664.0,25605249382.0,28344705967.0,28630474728.0,24256667553.0,26436857247.0,31256284544.0,31584210366.0,33293199095.0,34733000536.0,52544000117.0,72436777342.0,52438647922.0,51169499891.0,56781000101.0,58082870156.0,69252328953.0,76961923742.0,78676842366.0,84307486837.0,104000000000.0,79092001998.0,88416668900.0,111000000000.0,111000000000.0,126000000000.0,76636898036.0,141000000000.0,190000000000.0,229000000000.0,237000000000.0,257000000000.0,258000000000.0,272000000000.0,293000000000.0,299000000000.0,284000000000.0,284000000000.0,269000000000.0,97724004252.0,128000000000.0,165000000000.0,199000000000.0,233000000000.0,288000000000.0,362000000000.0,333000000000.0,424000000000.0,530000000000.0,546000000000.0,552000000000.0,526000000000.0,595000000000.0,558000000000.0,643000000000.0,518000000000.0,Argentina,"Population, total",SP.POP.TOTL,20481779.0,20817266.0,21153052.0,21488912.0,21824425.0,22159650.0,22494035.0,22828869.0,23168267.0,23517611.0,23880561.0,24259561.0,24653175.0,25056478.0,25462302.0,25865776.0,26264681.0,26661398.0,27061047.0,27471036.0,27896528.0,28338515.0,28794548.0,29262047.0,29737093.0,30216279.0,30698964.0,31184415.0,31668949.0,32148134.0,32618651.0,33079000.0,33529326.0,33970111.0,34402672.0,34828170.0,35246374.0,35657429.0,36063459.0,36467218.0,36870787.0,37275652.0,37681749.0,38087868.0,38491972.0,38892931.0,39289878.0,39684295.0,40080160.0,40482788.0,40788453.0,41261490.0,41733271.0,42202935.0,42669500.0,43131966.0,43590368.0,44044811.0,44494502.0
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858.0,2068526522.0,1272577456.0,1201313201.0,1315158670.0,1468317350.0,1596968913.0,1639492424.0,1893726437.0,1845482181.0,1911563665.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469950.0,6384451606.0,9206301700.0,11662040714.0,8647936748.0,9260284938.0,10142111334.0,10619320049.0,11121465767.0,11609512940.0,10553337673.0,10546135160.0,11527458566.0,12433089919.0,Armenia,"Population, total",SP.POP.TOTL,1874121.0,1941492.0,2009526.0,2077578.0,2145001.0,2211319.0,2276034.0,2339127.0,2401143.0,2462928.0,2525068.0,2587708.0,2650486.0,2712786.0,2773748.0,2832759.0,2889579.0,2944383.0,2997417.0,3049109.0,3099754.0,3148096.0,3193689.0,3238595.0,3285599.0,3335940.0,3392264.0,3451947.0,3504659.0,3536474.0,3538171.0,3505258.0,3442817.0,3363108.0,3283667.0,3217348.0,3168221.0,3133089.0,3108687.0,3089022.0,3069591.0,3050687.0,3033978.0,3017932.0,3000720.0,2981269.0,2958307.0,2932618.0,2907618.0,2888092.0,2877319.0,2876538.0,2884229.0,2897584.0,2912403.0,2925553.0,2936146.0,2944809.0,2951776.0
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514000000.0,527000000.0,512000000.0,503000000.0,496000000.0,520000000.0,563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,641000000.0,643000000.0,661000000.0,653000000.0,634000000.0,,American Samoa,"Population, total",SP.POP.TOTL,20123.0,20602.0,21253.0,22034.0,22854.0,23672.0,24462.0,25248.0,25989.0,26703.0,27363.0,27984.0,28567.0,29100.0,29596.0,30052.0,30456.0,30838.0,31269.0,31845.0,32646.0,33701.0,34968.0,36412.0,37946.0,39519.0,41119.0,42740.0,44343.0,45894.0,47347.0,48685.0,49896.0,51020.0,52095.0,53161.0,54211.0,55221.0,56171.0,57053.0,57821.0,58494.0,59080.0,59504.0,59681.0,59562.0,59107.0,58365.0,57492.0,56683.0,56079.0,55759.0,55667.0,55713.0,55791.0,55812.0,55741.0,55620.0,55465.0
