Country Code,Country Name,region,income_level,latitude,longitude,2018_gdp,2018_pop,GDP Per Capita 
ABW,Aruba,Latin America & Caribbean ,High income,12.5167,-70.0167,0.0,105845.0,0.0
AFG,Afghanistan,South Asia,Low income,34.5228,69.1761,19362969582.0,37172386.0,520.8966027093337
AGO,Angola,Sub-Saharan Africa ,Lower middle income,-8.81155,13.242,106000000000.0,30809762.0,3440.4679919306095
ALB,Albania,Europe & Central Asia,Upper middle income,41.3317,19.8172,15058879129.0,2866376.0,5253.63006423442
AND,Andorra,Europe & Central Asia,High income,42.5075,1.5218,3236543909.0,77006.0,42029.76273277407
ARE,United Arab Emirates,Middle East & North Africa,High income,24.4764,54.3705,414000000000.0,9630959.0,42986.373423456585
ARG,Argentina,Latin America & Caribbean ,Upper middle income,-34.6118,-58.4173,518000000000.0,44494502.0,11641.88779998032
ARM,Armenia,Europe & Central Asia,Upper middle income,40.1596,44.509,12433089919.0,2951776.0,4212.07094271381
ASM,American Samoa,East Asia & Pacific,Upper middle income,-14.2846,-170.691,0.0,55465.0,0.0
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,17.1175,-61.8456,1623804016.0,96286.0,16864.383357912884
AUS,Australia,East Asia & Pacific,High income,-35.282,149.129,1430000000000.0,24992369.0,57217.46505903462
AUT,Austria,Europe & Central Asia,High income,48.2201,16.3798,456000000000.0,8847037.0,51542.68033467024
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,40.3834,49.8932,46939529412.0,9942334.0,4721.1780867550815
BDI,Burundi,Sub-Saharan Africa ,Low income,-3.3784,29.3639,3078029929.0,11175378.0,275.4296032760592
BEL,Belgium,Europe & Central Asia,High income,50.8371,4.36761,532000000000.0,11422068.0,46576.50435980595
BEN,Benin,Sub-Saharan Africa ,Low income,6.4779,2.6323,10358985583.0,11485048.0,901.9540521728773
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,12.3605,-1.53395,14441763759.0,19751535.0,731.1717169830092
BGD,Bangladesh,South Asia,Lower middle income,23.7055,90.4113,274000000000.0,161356039.0,1698.1081197710857
BGR,Bulgaria,Europe & Central Asia,Upper middle income,42.7105,23.3238,65132951116.0,7024216.0,9272.62930354078
BHR,Bahrain,Middle East & North Africa,High income,26.1921,50.5354,37746196809.0,1569439.0,24050.757505707454
BHS,"Bahamas, The",Latin America & Caribbean ,High income,25.0661,-77.339,0.0,385640.0,0.0
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,43.8607,18.4214,19781776101.0,3323929.0,5951.323298722687
BLR,Belarus,Europe & Central Asia,Upper middle income,53.9678,27.5766,59662495092.0,9485386.0,6289.93855305414
BLZ,Belize,Latin America & Caribbean ,Upper middle income,17.2534,-88.7713,1925000000.0,383071.0,5025.1781001433155
BMU,Bermuda,North America,High income,32.3293,-64.706,0.0,63968.0,0.0
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,-13.9908,-66.1936,40287647757.0,11353142.0,3548.59013980447
BRA,Brazil,Latin America & Caribbean ,Upper middle income,-15.7801,-47.9292,1870000000000.0,209469333.0,8927.321117693156
BRB,Barbados,Latin America & Caribbean ,High income,13.0935,-59.6105,0.0,286641.0,0.0
BRN,Brunei Darussalam,East Asia & Pacific,High income,4.94199,114.946,13567099498.0,428962.0,31627.742079718017
BTN,Bhutan,South Asia,Lower middle income,27.5768,89.6177,2534965163.0,754394.0,3360.26686718081
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,-24.6544,25.9201,18616018903.0,2254126.0,8258.641665550196
CAF,Central African Republic,Sub-Saharan Africa ,Low income,5.63056,21.6407,2379716827.0,4666377.0,509.9709746983581
CAN,Canada,North America,High income,45.4215,-75.6919,1710000000000.0,37058856.0,46142.81671296059
CHE,Switzerland,Europe & Central Asia,High income,46.948,7.44821,706000000000.0,8516543.0,82897.48551730438
CHI,Channel Islands,Europe & Central Asia,High income,0,0,0.0,170499.0,0.0
CHL,Chile,Latin America & Caribbean ,High income,-33.475,-70.6475,298000000000.0,18729160.0,15911.01789936121
CHN,China,East Asia & Pacific,Upper middle income,40.0495,116.286,13600000000000.0,1392730000.0,9764.993932779505
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,5.332,-4.0305,43007045466.0,25069229.0,1715.5312381565464
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,3.8721,11.5174,38502059858.0,25216237.0,1526.87571337468
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,-4.325,15.3222,47227535291.0,84068091.0,561.7771823913547
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,-4.2767,15.2662,11263682694.0,5244363.0,2147.769461038452
COL,Colombia,Latin America & Caribbean ,Upper middle income,4.60987,-74.082,330000000000.0,49648685.0,6646.701720297325
COM,Comoros,Sub-Saharan Africa ,Lower middle income,-11.6986,43.2418,1203080508.0,832322.0,1445.45080870144
CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,14.9218,-23.5087,1986928612.0,543767.0,3654.007345057718
CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,9.63701,-84.0089,60126014829.0,4999441.0,12026.54753381428
CUB,Cuba,Latin America & Caribbean ,Upper middle income,23.1333,-82.3667,0.0,11338138.0,0.0
CUW,Curacao,Latin America & Caribbean ,High income,0,0,0.0,159849.0,0.0
CYM,Cayman Islands,Latin America & Caribbean ,High income,19.3022,-81.3857,0.0,64174.0,0.0
CYP,Cyprus,Europe & Central Asia,High income,35.1676,33.3736,24469841832.0,1189265.0,20575.600755088228
CZE,Czech Republic,Europe & Central Asia,High income,50.0878,14.4205,244000000000.0,10625695.0,22963.203818667862
DEU,Germany,Europe & Central Asia,High income,52.5235,13.4115,4000000000000.0,82927922.0,48234.65852671432
DJI,Djibouti,Middle East & North Africa,Lower middle income,11.5806,43.1425,1965982322.0,958920.0,2050.2047324072914
DMA,Dominica,Latin America & Caribbean ,Upper middle income,15.2976,-61.39,503646211.1,71625.0,7031.709753577662
