Country Code,Country Name,region,income_level,latitude,longitude,2018_gdp,2018_pop,GDP Per Capita 
USA,United States,North America,High income,38.8895,-77.032,20500000000000.0,327167434.0,62659.04814963949
CHN,China,East Asia & Pacific,Upper middle income,40.0495,116.286,13600000000000.0,1392730000.0,9764.993932779505
JPN,Japan,East Asia & Pacific,High income,35.67,139.77,4970000000000.0,126529100.0,39279.501711464
DEU,Germany,Europe & Central Asia,High income,52.5235,13.4115,4000000000000.0,82927922.0,48234.65852671432
GBR,United Kingdom,Europe & Central Asia,High income,51.5002,-0.126236,2830000000000.0,66488991.0,42563.43730648582
FRA,France,Europe & Central Asia,High income,48.8566,2.35097,2780000000000.0,66987244.0,41500.438501395874
IND,India,South Asia,Lower middle income,28.6353,77.225,2730000000000.0,1352617328.0,2018.3092020835031
ITA,Italy,Europe & Central Asia,High income,41.8955,12.4823,2070000000000.0,60431283.0,34253.782101564844
BRA,Brazil,Latin America & Caribbean ,Upper middle income,-15.7801,-47.9292,1870000000000.0,209469333.0,8927.321117693156
CAN,Canada,North America,High income,45.4215,-75.6919,1710000000000.0,37058856.0,46142.81671296059
